,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,Libellé,Code
1549,2311,Fabrication de verre plat,4,23,1.0,1.0,,Industrie manufacturière,C
1550,4651Z,"Comm. de gros d'ordinat., d'éqpts informatiq. périph. & logiciels",5,46,5.0,1.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1551,5911A,Production de films et de programmes pour la télévision,5,59,1.0,1.0,A,Information et communication,J
1552,4613Z,Intermédiaires du commerce en bois et matériaux de construction,5,46,1.0,3.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1553,4639B,Commerce de gros alimentaire non spécialisé,5,46,3.0,9.0,B,Commerce ; réparation d'automobiles et de motocycles,G
1554,4299,Construction d'autres ouvrages de génie civil n.c.a.,4,42,9.0,9.0,,Construction,F
1555,1041,Fabrication d'huiles et graisses,4,10,4.0,1.0,,Industrie manufacturière,C
1556,2343,Fabrication d'isolateurs et pièces isolantes en céramique,4,23,4.0,3.0,,Industrie manufacturière,C
1557,869,Autres activités pour la santé humaine,3,86,9.0,,,Santé humaine et action sociale,Q
1558,4676Z,Commerce de gros d'autres produits intermédiaires,5,46,7.0,6.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1559,1712Z,Fabrication de papier et de carton,5,17,1.0,2.0,Z,Industrie manufacturière,C
1560,1811Z,Imprimerie de journaux,5,18,1.0,1.0,Z,Industrie manufacturière,C
1561,6020A,Edition de chaînes généralistes,5,60,2.0,0.0,A,Information et communication,J
1562,75,Activités vétérinaires,2,75,,,,"Activités spécialisées, scientifiques et techniques",M
1563,8790B,"Hébergement social pour adultes, familles en difficultés et autre",5,87,9.0,0.0,B,Santé humaine et action sociale,Q
1564,1723Z,Fabrication d'articles de papeterie,5,17,2.0,3.0,Z,Industrie manufacturière,C
1565,03,Pêche et aquaculture,2,3,,,,"Agriculture, sylviculture et pêche",A
1566,2030Z,"Fabrication de peintures, vernis, encres et mastics",5,20,3.0,0.0,Z,Industrie manufacturière,C
1567,4753Z,"Comm. détail tapis, moquettes & revêts murs & sols (magas. spéc.)",5,47,5.0,3.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1568,4649Z,Commerce de gros d'autres biens domestiques,5,46,4.0,9.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1569,1412,Fabrication de vêtements de travail,4,14,1.0,2.0,,Industrie manufacturière,C
1570,4721,Commerce de détail de fruits et légumes en magasin spécialisé,4,47,2.0,1.0,,Commerce ; réparation d'automobiles et de motocycles,G
1571,6399Z,Autres services d'information n.c.a.,5,63,9.0,9.0,Z,Information et communication,J
1572,7021Z,Conseil en relations publiques et communication,5,70,2.0,1.0,Z,"Activités spécialisées, scientifiques et techniques",M
1573,2365Z,Fabrication d'ouvrages en fibre-ciment,5,23,6.0,5.0,Z,Industrie manufacturière,C
1574,7810,Activités des agences de placement de main-d'oeuvre,4,78,1.0,0.0,,Activités de services administratifs et de soutien,N
1575,611,Télécommunications filaires,3,61,1.0,,,Information et communication,J
1576,110,Fabrication de boissons,3,11,0.0,,,Industrie manufacturière,C
1577,4617A,Centrales d'achat alimentaires,5,46,1.0,7.0,A,Commerce ; réparation d'automobiles et de motocycles,G
1578,4939A,Transports routiers réguliers de voyageurs,5,49,3.0,9.0,A,Transports et entreposage,H
1579,7022,Conseil pour les affaires et autres conseils de gestion,4,70,2.0,2.0,,"Activités spécialisées, scientifiques et techniques",M
1580,5223,Services auxiliaires des transports aériens,4,52,2.0,3.0,,Transports et entreposage,H
1581,2599B,Fabrication d'autres articles métalliques,5,25,9.0,9.0,B,Industrie manufacturière,C
1582,6120Z,Télécommunications sans fil,5,61,2.0,0.0,Z,Information et communication,J
1583,4778,Autre commerce de détail de biens neufs en magasin spécialisé,4,47,7.0,8.0,,Commerce ; réparation d'automobiles et de motocycles,G
1584,2229,Fabrication d'autres articles en matières plastiques,4,22,2.0,9.0,,Industrie manufacturière,C
1585,3313Z,Réparation de matériels électroniques et optiques,5,33,1.0,3.0,Z,Industrie manufacturière,C
1586,3521,Production de combustibles gazeux,4,35,2.0,1.0,,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",D
1587,4621Z,"Comm. de gros céréales, tabac non manuf. et aliments pour bétail",5,46,2.0,1.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1588,6010,Édition et diffusion de programmes radio,4,60,1.0,0.0,,Information et communication,J
1589,2059,Fabrication d'autres produits chimiques n.c.a.,4,20,5.0,9.0,,Industrie manufacturière,C
1590,3317Z,Réparation et maintenance d'autres équipements de transport,5,33,1.0,7.0,Z,Industrie manufacturière,C
1591,4333,Travaux de revêtement des sols et des murs,4,43,3.0,3.0,,Construction,F
1592,5829C,Edition de logiciels applicatifs,5,58,2.0,9.0,C,Information et communication,J
1593,3521Z,Production de combustibles gazeux,5,35,2.0,1.0,Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",D
1594,5224,Manutention,4,52,2.0,4.0,,Transports et entreposage,H
1595,1396Z,Fabrication d'autres textiles techniques et industriels,5,13,9.0,6.0,Z,Industrie manufacturière,C
1596,4669A,Commerce de gros de matériel électrique,5,46,6.0,9.0,A,Commerce ; réparation d'automobiles et de motocycles,G
1597,2829,Fabrication de machines diverses d'usage général,4,28,2.0,9.0,,Industrie manufacturière,C
1598,3600Z,"Captage, traitement et distribution d'eau",5,36,0.0,0.0,Z,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",E
1599,3812,Collecte des déchets dangereux,4,38,1.0,2.0,,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",E
1600,7739,"Location et location-bail machines, équipements et biens divers",4,77,3.0,9.0,,Activités de services administratifs et de soutien,N
1601,7731Z,Location et location-bail de machines et équipements agricoles,5,77,3.0,1.0,Z,Activités de services administratifs et de soutien,N
1602,4645Z,Commerce de gros de parfumerie et de produits de beauté,5,46,4.0,5.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1603,236,"Fabrication d'ouvrages en béton, en ciment ou en plâtre",3,23,6.0,,,Industrie manufacturière,C
1604,8690,Autres activités pour la santé humaine,4,86,9.0,0.0,,Santé humaine et action sociale,Q
1605,8531,Enseignement secondaire général,4,85,3.0,1.0,,Enseignement,P
1606,1813Z,Activités de pré-presse,5,18,1.0,3.0,Z,Industrie manufacturière,C
1607,2521,Fabrication radiateurs et chaudières pour le chauffage central,4,25,2.0,1.0,,Industrie manufacturière,C
1608,4759,Comm. détail meubles appareils éclairage & autres art. ménage,4,47,5.0,9.0,,Commerce ; réparation d'automobiles et de motocycles,G
1609,9512,Réparation d'équipements de communication,4,95,1.0,2.0,,Autres activités de services,S
1610,889,Autre action sociale sans hébergement,3,88,9.0,,,Santé humaine et action sociale,Q
1611,873,Hébergement social pour personnes âgées ou handicapées physiques,3,87,3.0,,,Santé humaine et action sociale,Q
1612,1419Z,Fabrication d'autres vêtements et accessoires,5,14,1.0,9.0,Z,Industrie manufacturière,C
1613,1814,Reliure et activités connexes,4,18,1.0,4.0,,Industrie manufacturière,C
1614,3250A,Fabrication de matériel médico-chirurgical et dentaire,5,32,5.0,0.0,A,Industrie manufacturière,C
1615,163,Traitement primaire des récoltes,3,16,3.0,,,Industrie manufacturière,C
1616,4931Z,Transports urbains et suburbains de voyageurs,5,49,3.0,1.0,Z,Transports et entreposage,H
1617,1413Z,Fabrication de vêtements de dessus,5,14,1.0,3.0,Z,Industrie manufacturière,C
1618,855,Autres activités d'enseignement,3,85,5.0,,,Enseignement,P
1619,9499Z,Autres organisations fonctionnant par adhésion volontaire,5,94,9.0,9.0,Z,Autres activités de services,S
1620,2825Z,Fabrication équipements aérauliques et frigorifiques industriels,5,28,2.0,5.0,Z,Industrie manufacturière,C
1621,2342Z,Fabrication d'appareils sanitaires en céramique,5,23,4.0,2.0,Z,Industrie manufacturière,C
1622,2550A,"Forge, estampage, matriçage; métallurgie des poudres",5,25,5.0,0.0,A,Industrie manufacturière,C
1623,68,Activités immobilières,2,68,,,,Activités immobilières,L
1624,304,Construction de véhicules militaires de combat,3,30,4.0,,,Industrie manufacturière,C
1625,9810Z,Activ. indifférenciées ménages : producteurs biens (usage propre),5,98,1.0,0.0,Z,Activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre,T
1626,2454Z,Fonderie d'autres métaux non ferreux,5,24,5.0,4.0,Z,Industrie manufacturière,C
1627,932,Activités récréatives et de loisirs,3,93,2.0,,,"Arts, spectacles et activités récréatives",R
1628,0899Z,Autres activités extractives n.c.a.,5,8,9.0,9.0,Z,Industries extractives,B
1629,1722,Fabrication d'articles en papier à usage sanitaire ou domestique,4,17,2.0,2.0,,Industrie manufacturière,C
1630,2824Z,Fabrication d'outillage portatif à moteur incorporé,5,28,2.0,4.0,Z,Industrie manufacturière,C
1631,6622Z,Activités des agents et courtiers d'assurances,5,66,2.0,2.0,Z,Activités financières et d'assurance,K
1632,511,Transports aériens de passagers,3,51,1.0,,,Transports et entreposage,H
1633,3213Z,Fabrication articles bijouterie fantaisie & articles similaires,5,32,1.0,3.0,Z,Industrie manufacturière,C
1634,1071D,Pâtisserie,5,10,7.0,1.0,D,Industrie manufacturière,C
1635,3020Z,Construction locomotives & autre matériel ferroviaire roulant,5,30,2.0,0.0,Z,Industrie manufacturière,C
1636,4212,Construction de voies ferrées de surface et souterraines,4,42,1.0,2.0,,Construction,F
1637,9820Z,Activ. indifférenciées ménages  : produc. services (usage propre),5,98,2.0,0.0,Z,Activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre,T
1638,1082,"Fabrication de cacao, chocolat et de produits de confiserie",4,10,8.0,2.0,,Industrie manufacturière,C
1639,105,Fabrication de produits laitiers,3,10,5.0,,,Industrie manufacturière,C
