siren,Subventions d’exploitation
311867444,NA
311945604,38383
312196371,7739
312398290,NA
312423619,NA
312517147,NA
312577661,NA
312667702,NA
312694433,NA
312937352,2085
313284176,2100
313387474,NA
313400657,NA
313510109,NA
313549891,NA
313671109,NA
313842072,NA
314091927,NA
314239021,NA
314419466,NA
314974585,NA
314978776,NA
315303214,NA
315332569,NA
315334599,11737
315652461,NA
315855932,NA
315856807,101
315985812,NA
316024439,1850
316112473,21014
316190172,NA
316388719,NA
316722578,NA
316753102,NA
317001691,8347
317007748,NA
317052629,NA
317195485,NA
317238061,NA
317409423,NA
317469880,25303
317527364,NA
317553519,NA
317682235,NA
317897270,NA
317925501,375
318007663,NA
318101078,NA
318187382,NA
318289303,NA
318291838,NA
318357332,5429
318392024,NA
318402625,407
318557600,NA
318649381,NA
318698719,NA
318843240,NA
318906591,15052
318908621,NA
318977014,NA
319032140,NA
319116265,NA
319252441,1000
319332144,NA
319427126,NA
319448114,NA
319528444,NA
319538039,NA
319567426,NA
319673281,NA
319688016,NA
319773172,NA
319864468,8533
319922357,1380
320166598,NA
320291164,39068
320367444,NA
320495971,1680
320584410,NA
320636723,NA
321088718,NA
321111999,NA
321139453,NA
321239451,NA
321353906,NA
321435471,NA
321438335,NA
321484248,NA
321485328,NA
321502049,NA
321581456,NA
321593220,NA
321640153,NA
321760456,11075
321796245,NA
321818692,NA
321877268,NA
321935371,NA
322032202,NA
322078676,14522
322131830,NA
322202250,NA
322212150,NA
322396896,NA
322566092,NA
322671009,NA
322697020,NA
322747908,NA
322982463,3656
322983420,22080
323098525,NA
323265371,3900
323363440,NA
323400291,NA
323563767,64
323565820,NA
323634618,NA
323790949,NA
323900795,NA
323922831,NA
324081439,NA
324082791,NA
324126945,8980
324214857,NA
324294479,NA
324478411,NA
324534015,NA
324815521,NA
324859883,NA
324862655,NA
325080612,NA
325091429,4433
325114064,NA
325192573,NA
325434991,NA
325528057,NA
325591451,NA
325697225,NA
325730869,21945
325794311,NA
325795649,2500
325820108,NA
325833580,1000
325844900,NA
325850139,NA
325931970,NA
325932093,NA
325933240,NA
325986941,3261
326016136,14708
326135068,NA
326180312,46516
326331592,NA
326332483,4062
326447695,NA
326508496,NA
326535408,NA
326537123,NA
326604840,4883
326638061,1500
326715893,NA
326716040,NA
326717543,NA
326726619,NA
326728243,NA
326765914,NA
326769981,NA
326880432,NA
326923414,NA
326955515,NA
326979770,NA
327058541,NA
327139093,NA
327150074,NA
327308748,NA
327334595,NA
327378162,NA
327446977,NA
327468294,2586
327561254,NA
327641767,NA
327789640,NA
327796124,NA
327812913,6560
327822482,NA
327834917,172
327893228,NA
327932109,2500
327955290,30000
327977153,26089
328170337,NA
328223615,NA
328223862,NA
328233176,690
328263371,6083
328267042,NA
328277173,NA
