siren,Total des produits d’exploitation,Total des produits financiers,Total des produits exceptionnels,Autres produits
441178126,354996,219,NA,275
441415528,237720,NA,NA,149
441425998,261150,12,NA,NA
441583127,69822,NA,NA,10
441714037,2199659,NA,NA,NA
441772712,89680,NA,4181,NA
441830569,NA,7030,12673,3
441847969,116932,NA,50,58
441953684,139730,NA,601,8
442067989,249427,NA,NA,4
442080933,76938,NA,1559,NA
442240206,891539,NA,38975,6
442373619,452627,3678,NA,187
442409553,293537,NA,NA,2343
442448817,398949,NA,NA,NA
442465290,12000,NA,NA,NA
442506465,NA,NA,NA,1
442607321,883912,NA,3,9
442847182,175800,NA,NA,NA
442863114,298036,1075,NA,1
442878617,NA,NA,4774,NA
442898193,1539575,NA,NA,1744
442965711,NA,7194,NA,NA
443208301,1020207,NA,5143,NA
443425202,160996,512,NA,6
443480173,197475,NA,NA,NA
443494315,19652207,NA,NA,1104
443642434,21700,NA,NA,NA
443687470,876044,NA,4341,NA
443709217,NA,NA,1397,NA
443729934,3975592,2066,44814,2
443767538,337885,17836,48916,20
443777966,2106929,NA,NA,6
443964713,NA,1928,NA,NA
443993878,604566,833,NA,609
444043251,2,NA,550,2
444088991,228238,NA,NA,1
444158265,2850198,7103,333924,257
444174247,NA,NA,NA,5
444201008,232168,NA,NA,46
444274674,382014,NA,619,1242
444312037,302656,208557,4,NA
444326847,1235202,NA,36861,118
444338693,94978,NA,NA,2009
444375356,369348,NA,1408,34
444407266,388765,NA,NA,91
444475180,NA,NA,NA,NA
444481402,1037917,NA,NA,29976
444539449,253179,NA,NA,1
444568794,20000,NA,NA,NA
444605273,288231,NA,NA,4
444653059,145328,NA,NA,406
444693626,151687,NA,NA,2
444708812,43305,177,14615,NA
444932230,728084,25,593,119
445020241,1510947,NA,NA,NA
445023005,274560,NA,NA,3
445093016,84303,NA,2000,NA
445128283,1299718,NA,656,1212
445306418,138864,NA,NA,3
445720238,2327802,9616,NA,74
447497900,454,NA,NA,4
447732926,16174,NA,NA,NA
448091900,102075,NA,3274,6
448271205,1186149,NA,NA,1
448310672,68171,NA,20000,244
448332189,138478,NA,NA,NA
448403774,432801,NA,NA,103
448815456,741413,NA,NA,1990
448826859,NA,NA,NA,NA
448928184,323933,NA,NA,NA
449079557,88474,NA,NA,2
449132455,NA,3,NA,6
449153089,107471,NA,NA,2
449166362,617300,68705,NA,NA
449390368,702230,NA,NA,7
449418342,376303,NA,35666,25904
449452218,NA,NA,6000,NA
449510080,174741,NA,NA,12
449559236,NA,35,NA,NA
449636158,479262,NA,NA,147
449677053,54809,NA,NA,3293
449679067,NA,NA,NA,NA
449735869,589670,9,1639,NA
449836667,65542650,NA,52799,101755
449837079,461241,NA,24630,1
449894187,654684,NA,NA,646
450060009,NA,2,NA,NA
450061239,327913,9,469,2479
450276811,312994,NA,93,1
450350087,20479,NA,NA,NA
450370499,3363,NA,NA,NA
450390257,2349652,NA,NA,3656
450486964,836521,NA,NA,NA
450511217,318383,65,832,NA
450575022,815186,7877,20681,157
450624192,1208252,8,77807,229
450658000,129154,NA,NA,NA
450695754,208130,NA,NA,192
450705348,NA,3,11332,2
450809983,838526,NA,21460,NA
450823620,7235198,5568,1,3197
450965645,1827,3910,NA,1827
450995923,1084668,NA,33189,8
451011548,33774684,115634,42781,14
451074173,1001349,NA,4764,3
451322531,2886517,NA,NA,2
451367155,89242,903,NA,17
451426415,336046,61,NA,44
451489363,363296,NA,NA,NA
451637961,416792,3,12000,4
451729669,NA,79,NA,NA
451763379,26990,NA,NA,NA
451853303,266708,NA,5682,NA
451876395,79531,96,NA,100
451929798,48020,NA,NA,NA
451980734,1142585,NA,2900,41
452022262,NA,NA,2,NA
452206550,358494,NA,3797,3
452352164,1317861,NA,34222,2
452575772,371841,28,NA,752
452702434,223849,NA,NA,1
452749047,58251,NA,NA,1
